file_path,language,time_stamp,content,translation
datasets\Corpus\adult\audio\test_split\AD34117.wav,en,0.000-2.780,True magic lies within their hearts.,true magic lies within their hearts and
datasets\Corpus\adult\audio\test_split\AD34126.wav,hi,0.000-2.380,इस लोग नहीं है अदर ताने इस लोग नहीं है,There is no one in the image other than this man.
datasets\Corpus\adult\audio\test_split\AD34130.wav,hi,0.000-2.880,और देपिक्ट की भूलिश्य के लिए,and depict the loneliness of the
datasets\Corpus\adult\audio\test_split\AD34138.wav,en,0.000-1.820,and one is crying.,and one is crying
datasets\Corpus\adult\audio\test_split\AD34140.wav,hi,0.000-1.520,वो अपने आपको कंट्रोल कर रहा है,He is controlling himself.
datasets\Corpus\adult\audio\test_split\AD34141.wav,hi,0.000-1.400,जो पहला बच्चा है वो,The first child is...
datasets\Corpus\adult\audio\test_split\AD34150.wav,ur,0.000-3.220,کچھ اچھا ہوا ہو اس کے ساتھ وہ بہت زیادہ خوش ہے آج,I am very happy with what has happened today.
datasets\Corpus\adult\audio\test_split\AD34161.wav,hi,0.000-3.060,अभी जैसे क्रिस्मस का टाइम और उस टाइम पर ये सजावा है,"Like Christmas time, this is decorated at that time"
datasets\Corpus\adult\audio\test_split\AD35003.wav,so,0.000-0.840,4-5 days,4-5 days
datasets\Corpus\adult\audio\test_split\AD35007.wav,hi,0.000-1.160,वो मुझे काफी अच्छा लगता है,I like it a lot.
datasets\Corpus\adult\audio\test_split\AD35010.wav,hi,0.000-2.980,सरकंस्टांसेस फेस्टिवल तो ऐसे सपोर्ट नहीं कर पाए थे,"circumstances, the festival couldn't support it."
datasets\Corpus\adult\audio\test_split\AD35014.wav,ur,0.000-1.680,اس کے علاوہ تو ایسا کچھ کیا نہیں,I haven't done anything else.
datasets\Corpus\adult\audio\test_split\AD35015.wav,hi,0.000-4.220,हर रात को मेरे डॉक काफी परिशान हो गया था 5 वर्क्स के कारण,Every night my dog was very worried due to fireworks.
datasets\Corpus\adult\audio\test_split\AD35016.wav,hi,0.000-2.760,तो आपको लिमिट में फायरवर्क करना चाहिए,I think I should do some fireworks but in limit.
datasets\Corpus\adult\audio\test_split\AD35021.wav,hi,0.000-2.700,कि जैसे बोलते हैं कि उससे पहले स्ट्राद होते हैं,who are called as Shraddhas before that.
datasets\Corpus\adult\audio\test_split\AD35022.wav,hi,0.000-3.480,"कि आप ancestors को अपने see-off कर रहे हो, उनकी guidance के लिए हो रहा है।","that you are C-offing your ancestors, you are doing this for their guidance."
datasets\Corpus\adult\audio\test_split\AD35024.wav,hi,0.000-3.700,"जैसे मेरा खुद का डॉग है, तो उसके साथ काफी इशू हो जाता है उन चीजों पे","like my own dog, so I have issues with those things."
datasets\Corpus\adult\audio\test_split\AD35033.wav,en,0.000-2.960,"about things, it can give you, it can make you feel things.","about things, it can give you, it can make you feel things."
datasets\Corpus\adult\audio\test_split\AD35035.wav,en,0.000-2.380,Can you tell about your favorite series or TV show?,Can you tell about your favorite series or TV show?
datasets\Corpus\adult\audio\test_split\AD35035.wav,en,2.520-4.160,Favorite series or TV show?,Favorite series or TV show?
datasets\Corpus\adult\audio\test_split\AD35040.wav,ca,0.000-1.600,meu background de química.,I come from a chemistry background.
datasets\Corpus\adult\audio\test_split\AD35051.wav,en,0.000-2.500,What's your hometown? What's so special about the place?,What's your hometown? What's so special about the place?
datasets\Corpus\adult\audio\test_split\AD35051.wav,en,2.600-5.200,Would you like to recommend something from your place to everyone?,Would you like to recommend something from your place to everyone?
datasets\Corpus\adult\audio\test_split\AD35052.wav,hi,0.000-2.380,तो I think एक नए बार सबको वहाँ जाना चाहिए,So I think everyone should visit there once in a while.
datasets\Corpus\adult\audio\test_split\AD35052.wav,en,2.380-3.780,T.D. is a beautiful place,T.D. is a beautiful place.
datasets\Corpus\adult\audio\test_split\AD35056.wav,en,0.000-3.500,"यहाँ पे opportunity is better है, यहाँ पे place is better है","Here the opportunity is better, here the place is better."
datasets\Corpus\adult\audio\test_split\AD35063.wav,en,0.000-1.440,What's so special about the place?,What's so special about the place?
datasets\Corpus\adult\audio\test_split\AD35065.wav,hi,0.000-2.000,"लोग भी अभी ठीक हैं, आगे का तो पता नहीं।","People are also fine now, don't know about the future."
datasets\Corpus\adult\audio\test_split\AD35066.wav,en,0.000-2.240,Would you like to recommend something from your place to everyone?,Would you like to recommend something from your place to everyone?
datasets\Corpus\adult\audio\test_split\AD35082.wav,hi,0.000-1.100,मिर्च डाल सकते हो,You can add pepper.
datasets\Corpus\adult\audio\test_split\AD35088.wav,en,0.000-2.000,But I think South Indian food is quite great.,but I think South Indian food is quite great.
datasets\Corpus\adult\audio\test_split\AD35092.wav,en,0.000-4.320,"Sikkim? Yeah, I particularly enjoyed Sikkim when I went there in 20.","Sikkim? Yeah, I particularly enjoyed Sikkim when I went there in 20."
datasets\Corpus\adult\audio\test_split\AD35099.wav,hi,0.000-3.160,इंफ्रस्ट्रक्चर और सिक्के में डाज़लिंग बॉर्डर एरिया होने के करण,infrastructure of Sikkim and Darjeeling border area.
datasets\Corpus\adult\audio\test_split\AD35099.wav,hi,3.160-4.120,तैट इस अपने ग्रेट,That is also great.
datasets\Corpus\adult\audio\test_split\AD35110.wav,hi,0.000-4.780,प्लीज रीज दिस लाइन एक छोटे से गाउं में दो फ्रेंड्स रहते थे चंटू और राजू दोनों ही बच्चे,Please read these lines.
datasets\Corpus\adult\audio\test_split\AD35116.wav,en,0.000-2.000,as if someone was watching them.,as if someone was watching them
datasets\Corpus\adult\audio\test_split\AD35118.wav,it,0.000-3.080,"Welcome to ORAJU, मैं हूँ गुफा का Guardian",Welcome to Ovo Raju. I am the guardian of the cave.
datasets\Corpus\adult\audio\test_split\AD35121.wav,en,0.000-1.020,I turn full before them.,at an effort before them.
datasets\Corpus\adult\audio\test_split\AD35122.wav,hi,0.000-3.600,इस गुफा का राज है साथ निपाना और एक दूसरे के मदद करना।,The rule of this cave is to help each other and to be together.
datasets\Corpus\adult\audio\test_split\AD35125.wav,hi,0.000-3.920,चिंटू और आजू ने इस राज को समझा और इसके बाद भी उनकी दोस्ती और मजबूत हो गई है,Chintu and Raju understood Raju and even after that their friendship got stronger.
datasets\Corpus\adult\audio\test_split\AD35131.wav,en,0.000-1.440,in the heart of bustling city.,in the heart of bustling city.
datasets\Corpus\adult\audio\test_split\AD35134.wav,en,0.000-3.720,"एक गर्मी के दिन के दोपैर में, while exploring the attics of their old house.",in the afternoon of a hot summer day while exploring the attics of their old house.
datasets\Corpus\adult\audio\test_split\AD35138.wav,hi,0.000-5.900,सूर्यास्थ होने पर वीर और दिया ने एक छुपी गुफा को ढूनने की एक यात्रा पर निकलने का फैसला किया।,"After sunset, Veer and Diya decided to go on a journey to find a hidden cave."
datasets\Corpus\adult\audio\test_split\AD35140.wav,en,0.000-1.800,Old Abandoned House खोज निकाला।,I searched for the Old Abandoned House.
datasets\Corpus\adult\audio\test_split\AD35147.wav,hi,0.000-5.080,कई गंटों के अन्वेशन के बाद उन्होंने जंगल के मद्द में स्थित एक महल को खोज निखाला।,"After several hours of anvation, he found a palace in the middle of the jungle."
datasets\Corpus\adult\audio\test_split\AD35148.wav,hi,0.000-1.980,महल के द्वार पर उनका एक पुराने,"On the doorstep of the palace, he saw an old..."
datasets\Corpus\adult\audio\test_split\AD35151.wav,en,0.000-3.280,and that the bond of fiddling is the strongest magic of all.,and that the bond of fiddling is the strongest magic of all.
datasets\Corpus\adult\audio\test_split\AD35159.wav,en,0.000-2.320,So I don't think he is that homeless kind of a person.,So I don't think he is that homeless kind of a person.
datasets\Corpus\adult\audio\test_split\AD35161.wav,en,0.000-2.000,"Basically, I think he's just chilling.","Basically, I think he's just chilling."
datasets\Corpus\adult\audio\test_split\AD35172.wav,en,0.000-4.400,"as the old English saying, home is where the heart is.","as the old English saying, home is where the heart is."
datasets\Corpus\adult\audio\test_split\AD35174.wav,hi,0.000-1.320,दो बच्चे हैं,Two kids.
datasets\Corpus\adult\audio\test_split\AD35176.wav,hi,0.000-2.720,एक की बॉटल थोड़ी ज्यादा फैंसी है जो शांत है,I think one keyboard is a bit too fancy
datasets\Corpus\adult\audio\test_split\AD35177.wav,hi,0.000-2.160,खाने में अगर उन्हें बराबर की चीज़े ही मिली है,I think they have got the right amount of food.
datasets\Corpus\adult\audio\test_split\AD35184.wav,hi,0.000-0.940,पेलावाला लग रहा है,I look pale.
datasets\Corpus\adult\audio\test_split\AD35185.wav,en,0.000-2.680,So I don't know. I think they're just having a picnic.,So I don't know. I think they're just having a picnic.
datasets\Corpus\adult\audio\test_split\AD35187.wav,hi,0.000-1.780,क्योंकि पीछे फूटबॉल दिख रही है उसके अंदर,Because there is a football in it.
datasets\Corpus\adult\audio\test_split\AD35190.wav,hi,0.000-2.900,एक जस्ट रोने वाला है दूसरे ने रो रो के बहाल कर रखा है,"One is about to cry, the other is crying and taking care of it."
datasets\Corpus\adult\audio\test_split\AD35203.wav,hi,0.000-2.460,"इतनी खुशी बच्पन में ही होती है, बाद में तो होती है नहीं","This happiness is only in childhood, it is not in the future."
datasets\Corpus\adult\audio\test_split\AD35212.wav,ro,0.000-0.640,Great jump.,Great jump.
datasets\Corpus\adult\audio\test_split\AD35218.wav,hi,0.000-1.640,"नोट सो गुड़, जो लेटेस्ट आई है",Not so good. The latest one.
datasets\Corpus\adult\audio\test_split\AD35220.wav,en,0.000-1.980,I think I enjoyed the decoration.,I think I enjoyed the decoration.
datasets\Corpus\adult\audio\test_split\AD36005.wav,hi,0.000-7.080,"मेरे मॉम बच्चे बच्चे को बताएगी कि दिवाली एक फेस्टिवल पर शुरू हो चाहिए आप विशेष पर हो चाहिए अगर आप भी अपने पास फेस्टिवल पर रहे हैं, तो बच्चे बच्चे पर रहे हैं",my mom will always told that Diwali is like a home festival
datasets\Corpus\adult\audio\test_split\AD36007.wav,en,0.000-4.280,major reason is because मुझे lights बहुत पसंद है I love all these दियाज,Major reason is because I love lights. I love all these lamps.
datasets\Corpus\adult\audio\test_split\AD36010.wav,en,0.000-1.520,Like we have a joint family.,Like we have a joint family.
datasets\Corpus\adult\audio\test_split\AD36015.wav,hi,0.000-2.960,"मैं और मेरे पास बहुत अच्छा हैं, हम एक बहुत अच्छा प्रदेश करेंगे",Mostly me and my cousins will play some good music.
datasets\Corpus\adult\audio\test_split\AD36017.wav,hi,0.000-4.200,तो वह दिवाली पर बहुत साथ मज़े आते हैं विकॉट यह फैमिली गेट टोगेदर होता है,"Overall, we enjoy Diwali because it is a family get together."
datasets\Corpus\adult\audio\test_split\AD36025.wav,hi,0.000-3.440,घर के जितने भी डोज होते हैं उन पर पत्तो और फूलों की मालाई लगाते हैं,I apply flower and leaves cream on all the doors of the house.
datasets\Corpus\adult\audio\test_split\AD36041.wav,en,0.000-5.440,defense life so that is about a woman who goes to a special force training,defense life so that is about a woman who goes to a special force training
datasets\Corpus\adult\audio\test_split\AD36042.wav,hi,0.000-4.640,"और इसमें वो स्ट्रगल दिखाया है because all जो भी उसके companions होते हैं, they are all our",and he has shown that struggle because all his companions are men
datasets\Corpus\adult\audio\test_split\AD36053.wav,hi,0.000-2.320,और मैं यह बढ़ता हुआ था,And I completely enjoyed it.
datasets\Corpus\adult\audio\test_split\AD36053.wav,hi,2.320-4.320,जितने भी विशेषण थे,I have watched all the seasons together.
datasets\Corpus\adult\audio\test_split\AD36056.wav,en,0.000-2.480,shows that I really enjoyed watching.,shows that I really enjoyed watching.
datasets\Corpus\adult\audio\test_split\AD36060.wav,en,0.000-4.660,Rewadi is basically in this beautiful Aravali range.,Rewadi is basically in this beautiful Aravali range
datasets\Corpus\adult\audio\test_split\AD36064.wav,en,0.000-3.720,वो as a memorial बना है those people who lost,It has been made as a memorial for those people who lost their lives.
datasets\Corpus\adult\audio\test_split\AD36085.wav,fr,0.000-2.120,उसके बाद destination मुझे,after that destination
datasets\Corpus\adult\audio\test_split\AD36086.wav,hi,0.000-2.400,मुझे अमरित सर बहुत पसंद आये था,I liked Amritsar very much because
datasets\Corpus\adult\audio\test_split\AD36092.wav,hi,0.000-2.700,तो वो time बहुत अच्छा था और उसके बाद,That was a great time.
datasets\Corpus\adult\audio\test_split\AD36099.wav,hi,0.000-1.620,ममी पापा को भी वहाँ पे लेके जाओ,Take mom and dad there too.
datasets\Corpus\adult\audio\test_split\AD36106.wav,hi,0.000-2.420,इसे सुनके दोनों ने सोचा ये है उपसेदारी,"After hearing this, both of them thought that this is"
datasets\Corpus\adult\audio\test_split\AD36109.wav,hi,0.000-1.520,और गुफा की तरफ चले गए,and went towards the cave.
datasets\Corpus\adult\audio\test_split\AD36109.wav,en,1.520-3.440,as they walked through the jungle,"As they walked through the jungle,"
datasets\Corpus\adult\audio\test_split\AD36111.wav,hi,0.000-5.700,पर उन्होंने हिम्मत नहीं हारी। जब वो गुफा तक पहुँच गए उन्होंने गुफा में एक अजीब सी आवाज आई।,But he didn't lose his courage.
datasets\Corpus\adult\audio\test_split\AD36125.wav,en,0.000-5.920,Veer bade bhai known for his curiosity and Diya chhoti bhen admired for her creativity.,Veer Badebhai known for his curiosity and Diya Choti Bhen admired for her creativity.
datasets\Corpus\adult\audio\test_split\AD36132.wav,hi,0.000-1.360,"सूरज अस्थ होने पे,",The time of neste мужчatiques belonged to 2 neutral
datasets\Corpus\adult\audio\test_split\AD36158.wav,hi,0.000-3.260,तो उसने कुछ चद्डर सी ले रखी है और वो उड़के दिखा रहा है,So he has taken some sand and he is showing it flying.
datasets\Corpus\adult\audio\test_split\AD36158.wav,hi,3.260-5.600,तो अगर यह एक प्रिकार का प्रिकार है,So maybe it's like a stunt kind of picture.
datasets\Corpus\adult\audio\test_split\AD36161.wav,en,0.000-4.440,"So it's like a very decorated Christmas tree with gifts on it, lights on it.","So it's like a very decorated Christmas tree with gifts on it, lights on it."
datasets\Corpus\adult\audio\test_split\AD36163.wav,hi,0.000-0.660,ओके थेंक यू,Thank you.
datasets\Corpus\adult\audio\test_split\AD40019.wav,ur,0.000-1.860,انٹیلیجنس لڑکیوں کی,"intelligence of girls, their studies, or their..."
datasets\Corpus\adult\audio\test_split\AD40044.wav,hi,0.000-3.900,तो एंसी आर है तो देर इज नो,There is no NCR.
datasets\Corpus\adult\audio\test_split\AD40049.wav,hi,0.000-9.060,पहाड़ी या फिर किसी आउट सेशन जैसे शहर में हो सकता है क्योंकि वहां पर बहुत डिफरेंट जगह के लोग होते हैं,It can be in a mountainous or outstation like city
datasets\Corpus\adult\audio\test_split\AD40050.wav,hi,0.000-0.940,ऐसा नहीं है कि,It's not like...
datasets\Corpus\adult\audio\test_split\AD40051.wav,hi,0.000-5.500,"जगह के लोग वहीं के हैं, इस मिक्स्चर, कहीं के भी कैसे भी लोग हो सकते हैं.",The people of this place are from there only.
datasets\Corpus\adult\audio\test_split\AD40068.wav,hi,0.000-1.380,बहुत साफ सिटी है,it is a clean seat
datasets\Corpus\adult\audio\test_split\AD40070.wav,hi,0.000-6.900,तो भीड बहुत ज़्यादा नहीं है जिसकी वजह से सब कुछ मेंटेन करना बहुत इजी पड़ जाता है जो,"There is not a lot of crowd, so it becomes easy to maintain everything."
datasets\Corpus\adult\audio\test_split\AD40075.wav,hi,0.000-7.040,एक शहर के बीचों बीच एक नदी का पहना हमेशा एक खुबसूरत साइन होता है सीनिक ब्यूटी के लिए,Wearing a river in the middle of the city is always a beautiful sign for scenic beauty.
datasets\Corpus\adult\audio\test_split\AD40076.wav,hi,0.000-3.980,कह सकते हैं कि दोनों तरफी बहुत जादा अच्छा व्यू,You can say that the view is much better on both sides.
datasets\Corpus\adult\audio\test_split\AD40085.wav,ur,0.000-2.380,وہاں کی ایک خوبصورت چیز مجھے یہ لگی,I found one of the beautiful things there was that in one of the sculptures...
datasets\Corpus\adult\audio\test_split\AD40103.wav,hi,0.000-5.960,चिंटू और राजू ने गार्जन के दिये गए task complete कर लिये और हर एक task के बाद,Chintu and Raju completed the tasks given by the guardian and after each task
datasets\Corpus\adult\audio\test_split\AD40114.wav,en,0.000-2.740,"Veer Bade Bhai, known for his curiosity.","Veer Bade Bhai, known for his curiosity."
datasets\Corpus\adult\audio\test_split\AD40119.wav,en,0.000-7.240,symbols finally translating a passage that spoke of a hidden portal to a magical world.,"symbols, finally translating a passage that spoke of a hidden portal to a magical world."
datasets\Corpus\adult\audio\test_split\AD40121.wav,en,0.000-2.280,"after searching high and low,","After searching high and low, he found an old abandoned house near the city."
datasets\Corpus\adult\audio\test_split\AD40124.wav,hi,0.000-9.200,अन्जियसली उन्होंने जंगल के अंदर और गहरा प्रविश किया जहां उन्हें कल्प प्रवक्षों और जादूई द्रश्यों का सामना किया,Goltz entered the forest during Which he encountered calimant flavoured and enchanting visions.
datasets\Corpus\adult\audio\test_split\AD40130.wav,en,0.000-5.440,can you describe this image what are your thoughts okay so,can you describe this image what are your thoughts okay so
datasets\Corpus\adult\audio\test_split\AD40131.wav,en,0.000-1.440,There is a guy.,There is a guy.
datasets\Corpus\adult\audio\test_split\AD40144.wav,hi,0.000-4.220,"इतना खुश क्यों नहीं है, यह इतना रो क्यों रहा है, या फिर यह भी हो सकता है कि...",Why are you not so happy? Why are you crying so much?
datasets\Corpus\adult\audio\test_split\AD40150.wav,hi,0.000-1.520,वो कुछ expect तो कर रहे हैं,but he is expecting something.
datasets\Corpus\adult\audio\test_split\AD40157.wav,hi,0.000-1.160,उसके हाथ में एक कपड़ा है,She has a cloth in her hand.
datasets\Corpus\adult\audio\test_split\AD40158.wav,hi,0.000-5.400,ऐसा लग रही है इसे सुपरमैन बनने की उचिश कर रहा है तो इस इमेज से यह भी कहा जा सकता है कि,It looks like Superman is trying to become a superhero.
datasets\Corpus\adult\audio\test_split\AD40160.wav,hi,0.000-4.220,एक नॉर्मल फ्लोथ के कपड़े से भी आप सुपर मैन वाली फीलिंग लेके उड़ सकते हैं।,You can fly with a normal cloth with a superman feeling.
datasets\Corpus\adult\audio\test_split\AD40169.wav,hi,0.000-4.240,और मेजरली स्पेसक्राफ्ट की जैसे दिखने वाली है,and looks like a measurly spacecraft
datasets\Corpus\adult\audio\test_split\AD41001.wav,en,0.000-2.700,My favourite festival is Diwali.,My favourite festival is Diwali
datasets\Corpus\adult\audio\test_split\AD41004.wav,ur,0.000-1.180,ملاقات ہو جاتی ہے,See you in the next video
datasets\Corpus\adult\audio\test_split\AD41008.wav,en,0.000-1.740,for example I want to give,for example I want to give
datasets\Corpus\adult\audio\test_split\AD41013.wav,hi,0.000-1.680,लाइक कर दमाले जाए,Like a Dhamma Lejar
datasets\Corpus\adult\audio\test_split\AD41018.wav,hi,0.000-5.000,अगर आप हमारे तरफ विजिट करते हैं तो घी जरूर खाएं दही खाएं,"If you visit our place, then you must try this ghee and curd."
datasets\Corpus\adult\audio\test_split\AD41025.wav,hi,0.000-2.680,लाइक आलू की जो प्रोडक्ट्स हैं पोटेटो प्रोडक्ट,like potato products
datasets\Corpus\adult\audio\test_split\AD41026.wav,hi,0.000-2.160,चिप्स एंड ओल वो भी अच्छे लगते हैं,"Chips and all, they are also good."
datasets\Corpus\adult\audio\test_split\AD41027.wav,hi,0.000-2.000,जलेबी ज़िस्से पर बताया हूँ,I told you that Jalebi is my favorite dish
datasets\Corpus\adult\audio\test_split\AD41034.wav,hi,0.000-3.880,"बहुत ही पॉलिशन है, पॉपुलीशन भी बहुत है, तो लोगों से",There is a lot of pollution and a lot of population.
datasets\Corpus\adult\audio\test_split\AD41051.wav,hi,0.000-6.220,हमेशा रहते हैं चिंटो राजु ने इस राज को समझा और उसके बाद से उनकी दोस्ती और मजबूत हो गई,Chintu and Raju understood this and their friendship became stronger.
datasets\Corpus\adult\audio\test_split\AD41056.wav,hi,0.000-0.900,वीर बड़े भाई,"Veer, big brother."
datasets\Corpus\adult\audio\test_split\AD41057.wav,en,0.000-4.800,known for his curiosity and the Choti band admire for her creativity.,known for his curiosity and the a choti bhen admire for her creativity.
datasets\Corpus\adult\audio\test_split\AD41058.wav,en,0.000-4.980,एक गर्मी के दिन के दोपयर में while exploring the attic of their old house,in the afternoon of a summer day while exploring the attic of their old house
datasets\Corpus\adult\audio\test_split\AD41062.wav,en,0.000-2.000,"Finally, translating a passage.","Finally, translating a passage."
datasets\Corpus\adult\audio\test_split\AD41066.wav,en,0.000-5.660,"With a bated breath, they explored the old house, discovering a hidden passage behind a book.","With a breath of breath, they explored the old house, discovering a hidden passage behind a book."
datasets\Corpus\adult\audio\test_split\AD41069.wav,hi,0.000-3.760,कई गंटों के अन्विशन के बाद उन्होंने जंगल के मद्य में,"After several hours of exploration, he found a small tree in the middle of the forest."
datasets\Corpus\adult\audio\test_split\AD41073.wav,en,0.000-4.960,"The wizard welcomed them, reminding them that the true magic lies within their hearts.","The wizard welcomed them, reminding them that the true magic lies within their hearts."
datasets\Corpus\adult\audio\test_split\AD41074.wav,en,0.000-5.280,and that the bond of siblings is the strongest magic of all.,and that the bond of siblings is the strongest magic of all.
datasets\Corpus\adult\audio\test_split\AD41075.wav,id,0.000-3.000,"Okey, jadi bolehkah anda menjelaskan ini kepada saya?","Okay, so can you describe this to me?"
datasets\Corpus\adult\audio\test_split\AD41077.wav,en,0.000-3.040,I think he is waiting to go home.,I think he is waiting to go home.
datasets\Corpus\adult\audio\test_split\AD41080.wav,hi,0.000-2.120,जो घर जाने के लिए काफी उत्सुक दिखाई दे रहा है,"So, it looks very exciting to go home."
datasets\Corpus\adult\audio\test_split\AD41081.wav,hi,0.000-4.520,और इस इमेज में दो बच्चे दिख रहे हैं खाना खाते हुए लेकिन,"In this image, two children are seen eating food."
datasets\Corpus\adult\audio\test_split\AD41082.wav,hi,0.000-3.520,एक बच्चा रोता हुआ दिख रहा है थोड़ा सा अपसेट,"One child is crying, looks a bit upset."
datasets\Corpus\adult\audio\test_split\AD41083.wav,hi,0.000-2.940,"दूसरा तो बड़ा सा अपसेट दिख रहा है, अरे एक बच्चा रो रहा है,",The other one is a little upset.
datasets\Corpus\adult\audio\test_split\AD41084.wav,hi,0.000-3.420,खाने में इंटरेस्ट नहीं आ रहा या फिर उसको कुछ और चीज़ें खाने के लिए,He is not interested in food or he wants something else.
datasets\Corpus\adult\audio\test_split\AD41085.wav,hi,0.000-1.860,वो अपनी मां के लिए भी रो रहा होगा,He must be crying for his mother too.
datasets\Corpus\adult\audio\test_split\AD41089.wav,en,0.000-4.000,He is jumping in the air. So maybe he is happy.,He is jumping in the air. So maybe he is happy.
datasets\Corpus\adult\audio\test_split\AD41091.wav,hi,0.000-5.240,उसने कुछ अचीव किया होगा जिस वजह से वो काफी खुश दिख रहा है,He must have achieved something and that's why he looks very happy.
datasets\Corpus\adult\audio\test_split\AD41096.wav,no,0.000-2.480,someone loving guy,someone loving guy.
datasets\Corpus\adult\audio\test_split\AD41097.wav,ko,0.000-0.640,땡큐,Thank you
datasets\Corpus\adult\audio\test_split\AD42003.wav,en,0.000-6.480,What I like about Holi is that Holi is a festival of joy and color.,What I like about Holi is that Holi is a festival of joy and color.
datasets\Corpus\adult\audio\test_split\AD42007.wav,en,0.000-5.760,What happened in this is that we get to interact with people more closely.,What happened in this is that we get to interact with people more closely.
datasets\Corpus\adult\audio\test_split\AD42009.wav,en,0.000-4.480,when we put colors on each other,when we put colors on each other.
datasets\Corpus\adult\audio\test_split\AD42015.wav,en,0.000-7.560,"snacks, gujiyas and all kind of things color","snacks, gujiyas and all kind of things color"
datasets\Corpus\adult\audio\test_split\AD42019.wav,en,0.000-2.500,Do you like watching series or TV shows?,Do you like watching series or TV shows?
datasets\Corpus\adult\audio\test_split\AD42019.wav,ca,2.500-3.940,Can you tell me?,Can you tell me?
datasets\Corpus\adult\audio\test_split\AD42021.wav,en,0.000-5.000,TV shows and series I used to like very much when I was in my bachelor's.,TV shows and series I used to like very much when I was in my bachelor's.
datasets\Corpus\adult\audio\test_split\AD42025.wav,en,0.000-2.920,And that time we used to watch movies a lot.,and that time we used to watch movies a lot
datasets\Corpus\adult\audio\test_split\AD42027.wav,af,0.000-2.720,Nowadays Hindi movie series are also,Nowadays Hindi movie series are also
datasets\Corpus\adult\audio\test_split\AD42034.wav,en,0.000-1.100,My favorite series.,My favorite series.
datasets\Corpus\adult\audio\test_split\AD42036.wav,en,0.000-1.400,What is your hometown?,What is your hometown?
datasets\Corpus\adult\audio\test_split\AD42047.wav,fr,0.000-3.060,passes you can visit and you can,passes you can visit and you can
datasets\Corpus\adult\audio\test_split\AD42048.wav,en,0.000-2.960,scenic beauties you can have a gomukh trek,scenic beauties you can have a gomukh trek
datasets\Corpus\adult\audio\test_split\AD42057.wav,fr,0.000-1.660,you can visit gangotree.com,you can visit gangotree.com
datasets\Corpus\adult\audio\test_split\AD42058.wav,en,0.000-5.840,they are very good home stays and cottages also you will enjoy very much,they are very good home stays and cottages also you will enjoy very much
datasets\Corpus\adult\audio\test_split\AD42059.wav,en,0.000-4.880,What kind of food do you like? Can you tell me about your favorite dish?,What kind of food do you like? Can you tell me about your favorite dish?
datasets\Corpus\adult\audio\test_split\AD42072.wav,en,0.000-3.120,good place to visit.,good place to visit.
datasets\Corpus\adult\audio\test_split\AD42083.wav,ur,0.000-5.980,پر انہوں نے حمد نہیں آئی جب وہ گفا تک پہنچے انہوں نے گفا سے ایک عجیب سی آواز آئی,But they couldn't hold back.
datasets\Corpus\adult\audio\test_split\AD42094.wav,hi,0.000-4.360,दो सिब्लिंग रहते थे वी और दिया वीर बड़े भाई नोन फॉर इस,"Two siblings lived there, Veer and Diyaveer, the elder brother known for his"
datasets\Corpus\adult\audio\test_split\AD42105.wav,en,0.000-4.880,"Stepping through the passes, they found themselves in a lush, magical forest.","Stepping through the passes, they found themselves in a lush, magical forest."
datasets\Corpus\adult\audio\test_split\AD42110.wav,en,0.000-3.920,as looking at this image i can infer that,as looking at this image I can infer that
datasets\Corpus\adult\audio\test_split\AD42114.wav,en,0.000-1.840,and lean behind it.,and lean behind it.
datasets\Corpus\adult\audio\test_split\AD42115.wav,en,0.000-4.900,Just to think what he could do or where he could go.,just to think what he could do or where he could go.
datasets\Corpus\adult\audio\test_split\AD42117.wav,en,0.000-4.880,"Looking at the two child, what I can infer is","Looking at the two child, what I can infer is"
datasets\Corpus\adult\audio\test_split\AD42130.wav,en,0.000-2.000,school time where,school time where
datasets\Corpus\adult\audio\test_split\AD42134.wav,af,0.000-2.060,and we get to meet,and we get to meet
datasets\Corpus\adult\audio\test_split\AD42135.wav,en,0.000-3.440,the father and sister of the convent school.,the father and sister of the convent school.
datasets\Corpus\adult\audio\test_split\AD43003.wav,hi,0.000-1.820,फेवरेट फेस्टिवल था वो,My favorite festival was
datasets\Corpus\adult\audio\test_split\AD43009.wav,ur,0.000-1.160,وہ سب لے کے آیا تھا,other less expensive vehicle
datasets\Corpus\adult\audio\test_split\AD43016.wav,hi,0.000-7.260,मतलब उनको जितने भी दोस्ते सबके घर हम एक-एक करके सबके घर गए और उस दिन सुबह 9 10 पजे से हम लोग निकले थे,We went to all the friends' houses one by one and left at 9-10 am that day.
datasets\Corpus\adult\audio\test_split\AD43017.wav,ur,0.000-3.620,شام کو چار پانچ بجے تک سب دوستوں کے ساتھ ہولی وغیرہ کھیلا,I played Holi with all my friends until 4-5 pm.
datasets\Corpus\adult\audio\test_split\AD43017.wav,ur,3.620-5.480,سب کے گھر والوں سے ملا,I met all my family members.
datasets\Corpus\adult\audio\test_split\AD43020.wav,ur,0.000-1.160,ہم لوگوں نے کھائی,we ate and all that
datasets\Corpus\adult\audio\test_split\AD43029.wav,ur,0.000-1.340,کافی ساری میں دیکھتا ہوں,I see many of them
datasets\Corpus\adult\audio\test_split\AD43033.wav,de,0.000-1.560,Süper Lümen'e 3 of us.,I have 3 of them.
